200000000,2,2.3942
200000000,2,2.4517
200000000,2,2.3716
200000000,4,3.2577
200000000,4,2.6539
200000000,4,2.3973
200000000,8,2.3643
200000000,8,2.5601
200000000,8,2.5600
200000000,12,2.4458
200000000,12,2.5164
200000000,12,2.5755
200000000,16,3.4011
200000000,16,3.2230
200000000,16,2.8996
200000000,24,3.1183
200000000,24,3.1636
200000000,24,3.1457
200000000,2,8.0377
200000000,2,9.7273
200000000,2,7.4046
200000000,4,5.3152
200000000,4,5.3474
200000000,4,4.8490
200000000,8,3.7550
200000000,8,3.7938
200000000,8,3.5647
200000000,12,3.6919
200000000,12,4.4344
200000000,12,3.4221
200000000,16,4.2836
200000000,16,3.9359
200000000,16,3.9416
200000000,24,4.0231
200000000,24,3.8237
200000000,24,3.8215
